Time,data
2022-01-17 15:47:31,1064959905579830000 
2022-01-17 15:47:51,1064956826088280000 
2022-01-17 15:48:01,1064956899102720000 
2022-01-17 15:48:11,1064955537598090000 
2022-01-17 15:48:21,1064955967094820000 
2022-01-17 15:48:31,1064952101624250000 
2022-01-17 15:48:41,1064949168161590000 
2022-01-17 15:48:51,1064946874649050000 
2022-01-17 15:49:02,1064944370683120000 
2022-01-17 15:49:11,1064941505939930000 
2022-01-17 15:49:22,1064939289736810000 
2022-01-17 15:49:31,1064936712756430000 
2022-01-17 15:49:41,1064934775726180000 
2022-01-17 15:49:51,1064932701256970000 
2022-01-17 15:50:01,1064928835786410000 
2022-01-17 15:50:11,1064925829309300000 
2022-01-17 15:50:21,1064923681825650000 
2022-01-17 15:50:31,1064923037580550000 
2022-01-17 15:50:51,1064920031103440000 
2022-01-17 15:52:07,1064911226420480000 
2022-01-17 15:52:08,1064909650167480000 
2022-01-17 15:52:11,1064908292957820000 
2022-01-17 15:52:21,1064907146201550000 
2022-01-17 15:53:33,1064904856983980000 
2022-01-17 15:54:15,1064905144746790000 
2022-01-17 15:54:15,1064906145474170000 
2022-01-17 15:54:15,1064904569221170000 
2022-01-17 15:54:15,1064882308405670000 
2022-01-17 15:54:16,1064886745106880000 
2022-01-17 15:54:16,1064895837552650000 
2022-01-17 15:54:16,1064892474593260000 
2022-01-17 15:54:16,1064898126770220000 
2022-01-17 15:54:16,1064901919226350000 
2022-01-17 15:55:20,1064866202278300000 
2022-01-17 15:56:25,1064851096878320000 
2022-01-17 15:56:25,1064852101900670000 
2022-01-17 15:57:29,1064845801183650000 
2022-01-17 15:57:29,1064845942917570000 
2022-01-17 15:58:33,1064857324580900000 
2022-01-17 15:58:33,1064854532852160000 
2022-01-17 15:59:38,1064849954417020000 
2022-01-17 16:00:42,1064845015204630000 
2022-01-17 16:00:42,1064846801911030000 
2022-01-17 16:01:46,1064845513420840000 
2022-01-17 16:02:51,1064844727441820000 
2022-01-17 16:02:51,1064844727441820000 
2022-01-17 16:02:51,1064844727441820000 
2022-01-17 16:02:51,1064844727441820000 
2022-01-17 16:02:51,1064842936440460000 
2022-01-17 16:02:51,1064844727441820000 
2022-01-17 16:03:59,1064844727441820000 
2022-01-17 16:03:59,1064844727441820000 
2022-01-17 16:03:59,1064844727441820000 
2022-01-17 16:03:59,1064844727441820000 
2022-01-17 16:03:59,1064844727441820000 
2022-01-17 16:03:59,1064844727441820000 
2022-01-17 16:04:00,1064844727441820000 
2022-01-17 16:05:48,1064844727441820000 
2022-01-17 16:06:04,1064844727441820000 
2022-01-17 16:07:09,1064844727441820000 
2022-01-17 16:07:09,1064844727441820000 
2022-01-17 16:07:09,1064844727441820000 
2022-01-17 16:07:09,1064844727441820000 
2022-01-17 16:07:09,1064844727441820000 
2022-01-17 16:07:09,1064844727441820000 
2022-01-17 16:08:13,1064844727441820000 
2022-01-17 16:08:13,1064844727441820000 
2022-01-17 16:09:18,1064844727441820000 
2022-01-17 16:10:22,1064860258043560000 
2022-01-17 16:11:26,1064860258043560000 
2022-01-17 16:12:30,1064850169165390000 
2022-01-17 16:13:36,1064846088946460000 
2022-01-17 16:14:39,1064856538601890000 
2022-01-17 16:14:39,1064848807660760000 
2022-01-17 16:14:39,1064851242907210000 
2022-01-17 16:14:39,1064847162688280000 
2022-01-17 16:14:39,1064846015932010000 
2022-01-17 16:14:39,1064846372414300000 
2022-01-17 16:15:44,1064854820614970000 
2022-01-17 16:15:44,1064854103355430000 
2022-01-17 16:16:48,1064856822069730000 
2022-01-17 16:17:52,1064854103355430000 
2022-01-17 16:18:57,1064861048317540000 
2022-01-17 16:18:57,1064860545806370000 
2022-01-17 16:18:57,1064857754077630000 
2022-01-17 16:18:57,1064857324580900000 
2022-01-17 16:18:57,1064855035363330000 
2022-01-17 16:18:57,1064854605866600000 
2022-01-17 16:20:01,1064854678881050000 
2022-01-17 16:20:01,1064856753350250000 
2022-01-17 16:21:06,1064870282497240000 
2022-01-17 16:21:06,1064867349034570000 
2022-01-17 16:22:10,1064890254095170000 
2022-01-17 16:23:19,1064900630736160000 
2022-01-17 16:23:19,1064902782514770000 
2022-01-17 16:24:35,1064914447645960000 
2022-01-17 16:25:39,1064928191541310000 
2022-01-17 16:25:39,1064926258806030000 
2022-01-17 16:26:28,1064947806656960000 
2022-01-17 16:26:28,1064944868899320000 
2022-01-17 16:27:32,1064965703785680000 
2022-01-17 16:27:32,1064965274288950000 
2022-01-17 16:28:36,1064971428977090000 
2022-01-17 16:28:36,1064969569256250000 
2022-01-17 16:29:41,1064984386893420000 
2022-01-17 16:29:41,1064987032593280000 
2022-01-17 16:30:45,1064998272522690000 
2022-01-17 16:30:45,1064996412801860000 
2022-01-17 16:31:50,1064986676111000000 
2022-01-17 16:31:50,1064987964601190000 
2022-01-17 16:32:54,1064982093380900000 
2022-01-17 16:32:54,1064982381143710000 
2022-01-17 16:33:58,1064988896609100000 
2022-01-17 16:35:03,1064997696997090000 
2022-01-17 16:35:03,1064997340514800000 
2022-01-17 16:36:07,1064996984032520000 
2022-01-17 16:36:07,1064996627550230000 
2022-01-17 16:37:12,1064997555263170000 
2022-01-17 16:38:16,1064989824322030000 
2022-01-17 16:38:16,1064989609573670000 
2022-01-17 16:39:20,1064999058501710000 
